콘텐츠아이디,제목_x,지번주소_x,위도,경도,조회수,좋아요수,리뷰수,북마크수,소셜네트워크공유수,인기점수,읍면,시,관광객수,카드사용금액,관광지개수,콘텐츠분류.1,콘텐츠분류.2,관광지면적,ratio,rank_,읍면동별_관광지면적,오버투어리즘,인구혼잡도,연락처,imgpath,소개
CNTS_200000000014228,코코메아,제주특별자치도 제주시 한경면 판포리 2582,33.3597187,126.2026079,79,0,0,1,0,158,한경면,제주시,3962233,35.7,156,음식점,1,876,12.99,0,4021104.1,0.9853594688085792,0,0507-1361-0160,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200814_87%2F1597384561905du8dr_JPEG%2FzShdxyXdLS5nR2Uypz2tP7Zg.jpeg.jpg,"코코메아는 뉴질랜드 마오리어로 Sunset을 뜻합니다.
제주 서쪽 작은 마을, 판포에서 매일 조금씩,
뉴질랜드식 소세지롤과 미트파이를 구워낼 계획이예요."
CNTS_200000000014201,스팅그레이,제주특별자치도 제주시 한경면 청수리 1158-5,33.3035968,126.2466671,83,0,0,0,0,166,한경면,제주시,3962233,35.7,156,음식점,1,876,12.99,0,4021104.1,0.9853594688085792,0,0507-1429-2188,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210627_49%2F1624800842199qBqSs_JPEG%2FGK5e9FvrCz18VelsLFfIN5mw.jpg,제주자연을 품은 공간
CNTS_200000000007193,함덕어촌계,제주특별자치도 제주시 조천읍 함덕리 3150-2,33.5465655,126.6596397,0,0,0,0,0,0,조천읍,제주시,9102603,134.3,300,관광지,2,942,9.52,0,16587189.8,0.5487730658269793,0,064-782-6768,https://postfiles.pstatic.net/MjAyMzA3MDFfMTE4/MDAxNjg4MTk3OTg5MjA2.VAQH-u5_LKxSXv9BRSGY-QBFDw2Jl18wN7wvZV26oQ4g.Mjot3qqdPnkFMl_rKcNo0foBHU0GvJ7s_DtecC4qWpMg.JPEG.illi2003/1688197989526.jpg?type=w773,함덕 어촌계 해녀상
CNTS_200000000014197,백수당,제주특별자치도 제주시 구좌읍 월정리 408-1,33.5565256,126.7936052,79,0,0,0,0,158,구좌읍,제주시,8197921,87.7,439,음식점,1,222,7.16,0,11479537.6,0.7141333811215532,0,0507-1371-9389,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231213_161%2F1702443172130abYeG_JPEG%2FIMG_1089.jpeg,제주도 월정리 카페 백수당
CNTS_200000000014206,오멍가멍 애견카페&호텔,제주특별자치도 제주시 용담삼동 1206,33.5175216,126.498289,166,0,0,2,0,332,용담2동,제주시,12013080,177.1,77,관광지,2,419,41.08,0,10212835.2,1.1762727748705866,0,0507-1337-0567,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190221_227%2F15506866952189Im3A_JPEG%2FHB-h7wTk5V0-IQCkXthWZqq5.jpg,"* 수년동안 애견유치원, 애견호텔링, 애견놀이터를 운영하며 매년 2만 마리 이상의 반려견들을 늘 관찰하고 연구하며 함께 지내왔습니다. 새로운 환경에 처음 노출된 반려견, 보호자와 처음 떨어져보는 반려견과 다양한 상황에 대한 데이터가 쌓이고 쌓여 응급상황에 대한 대처능력은 한국에서 누구보다 뛰어난 반려견 전문가라고 자부합니다."
CNTS_200000000012542,제주설심당 본점,제주특별자치도 제주시 용담삼동 2319-6,33.5194453,126.493001,151,0,0,1,0,302,용담2동,제주시,12013080,177.1,77,음식점,1,613,41.08,0,10212835.2,1.1762727748705866,0,064-745-2145,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231024_88%2F1698157619155epWJP_JPEG%2FKakaoTalk_20231023_000242751_01.jpg,"원래 추울수록 차가운게 더 땡기는건...저만 그런가요? 몸은 따뜻한데 입은 차가운 그 느낌? 추울수록 더 맛있고 생각나는 빙수 추워진 계절에 딱 어울리는 호떡과 도넛, 단팥죽 여기가 제 겨울집입니다"
CNTS_200000000014235,펫마마스푸드,제주특별자치도 서귀포시 대정읍 하모리 634-6,33.2115793,126.2589391,98,0,0,1,0,196,대정읍,서귀포시,4956729,65.2,171,쇼핑,5,876,9.65,0,1397166.1,3.547702023402944,0,,,
CNTS_200000000007626,한복입는선흘집,제주특별자치도 서귀포시 남원읍 위미리 3153,33.3060336,126.6580882,0,0,0,0,0,0,남원읍,서귀포시,4769707,45.4,171,쇼핑,5,1611,10.06,0,4403900.6,1.0830641817846662,0,,,
CNTS_200000000014221,나무식탁,제주특별자치도 서귀포시 대정읍 신도리 1407-1,33.2780987,126.1916359,118,0,0,1,0,236,대정읍,서귀포시,4956729,65.2,171,음식점,1,876,9.65,0,1397166.1,3.547702023402944,0,,,
CNTS_200000000014192,깅코,제주특별자치도 제주시 연동 260-26,33.4908657,126.488621,104,0,0,2,0,208,연동,제주시,12933413,347.2,187,음식점,1,590,27.7,0,15770385,0.8201076257808544,0,,,
CNTS_200000000007068,디포레카라반파크,제주특별자치도 제주시 구좌읍 송당리 1901-2 ,33.4653526,126.7822622,24,0,0,0,1,48,구좌읍,제주시,8197921,87.7,439,숙박,0,876,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_200000000012561,절물자연휴양림휴게소,제주특별자치도 제주시 봉개동 산 78-1,33.4393726,126.6284479,240,0,0,1,0,480,봉개동,제주시,1800716,19,28,음식점,1,614,6.72,0,494167.6,3.6439378057161176,0,,,
CNTS_000000000022205,혜밀버거 레시피,제주특별자치도 제주시 구좌읍 하도리 1759,33.526787,126.88599,34,0,0,1,0,68,구좌읍,제주시,8197921,87.7,439,음식점,1,876,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_200000000014101,술 다끄는 집,제주특별자치도 서귀포시 표선면 성읍리 883,33.3878766,126.8016869,133,0,0,1,0,266,표선면,서귀포시,5707617,99.4,183,쇼핑,5,876,8,0,30090733.4,0.1896802222839806,0,,,
CNTS_200000000007436,카페 디 아일렛,제주특별자치도 서귀포시 안덕면 서광리 산 24,33.30774886,126.3178348,72,0,0,0,0,144,안덕면,서귀포시,11308881,142.5,335,음식점,1,876,6.31,0,13056845.1,0.8661266112439368,0,,,
CNTS_000000000022530,조끌락,제주특별자치도 제주시 구좌읍 김녕리 1223-20,33.55773,126.75526,49,0,0,0,0,98,구좌읍,제주시,8197921,87.7,439,음식점,1,876,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_200000000007572,카페캐로타,제주특별자치도 제주시 구좌읍 평대리 3351-2 카페 캐로타,33.5318334,126.842243,26,0,0,0,0,52,구좌읍,제주시,8197921,87.7,439,음식점,1,1062,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_200000000013592,이가,제주특별자치도 제주시 노형동 737,33.4788455,126.4803929,180,0,0,1,0,360,노형동,제주시,7543251,657.8,135,음식점,1,169,16.24,0,8329103.7,0.905649788,0,,,
CNTS_200000000014193,도그헤븐 애견카페,제주특별자치도 제주시 연동 292-10,33.4895616,126.4945088,110,0,0,0,0,220,연동,제주시,12933413,347.2,187,음식점,1,876,27.7,0,15770385,0.8201076257808544,0,,,
CNTS_200000000014213,일구공스테이지하우스,제주특별자치도 제주시 구좌읍 종달리 611,33.4880673,126.8804954,80,0,0,1,0,160,구좌읍,제주시,8197921,87.7,439,음식점,1,876,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_200000000014219,그레이그로브,제주특별자치도 서귀포시 안덕면 사계리 2294-20,33.2258451,126.2999006,109,0,0,0,0,218,안덕면,서귀포시,11308881,142.5,335,음식점,1,876,6.31,0,13056845.1,0.8661266112439368,0,,,
CNTS_200000000014102,제주술익는집,제주특별자치도 서귀포시 표선면 성읍리 1410-1,33.3849016,126.79391,176,0,0,1,0,352,표선면,서귀포시,5707617,99.4,183,쇼핑,5,876,8,0,30090733.4,0.1896802222839806,0,,,
CNTS_200000000014196,돌담넘는고양이,제주특별자치도 제주시 구좌읍 종달리 722,33.4880673,126.8804954,85,0,0,0,0,170,구좌읍,제주시,8197921,87.7,439,음식점,1,876,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_000000000022499,파리바게트 성산일출봉점,제주특별자치도 서귀포시 성산읍 성산리 135-1,33.46191,126.934555,253,0,1,0,0,511,성산읍,서귀포시,9044676,123,288,음식점,1,205,5.8,0,23366366.2,0.3870809830926984,0,,,
CNTS_200000000014108,푸더매 제주,제주특별자치도 제주시 구좌읍 송당리 2656-7,33.4334468,126.7511156,180,0,0,1,0,360,구좌읍,제주시,8197921,87.7,439,음식점,1,358,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_200000000013588,손끝에서,제주특별자치도 제주시 구좌읍 세화리 1521-13,33.5239835,126.8548993,104,0,0,0,0,208,구좌읍,제주시,8197921,87.7,439,쇼핑,5,876,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_000000000022796,천일각,제주특별자치도 제주시 오라3동 2401-46,33.493237,126.50529,239,0,0,0,0,478,오라동,제주시,1447924,26.5,54,음식점,1,1009,13.72,0,151570.9,9.552783548821049,0,,,
CNTS_200000000007130,스시마시,제주특별자치도 제주시 일도1동 1108-18,33.5111958,126.5292815,274,0,0,0,0,548,일도1동,제주시,907667,48.7,24,음식점,1,990,66.92,0,25857.9,35.10211579439939,0,,,
CNTS_200000000014096,아라도예,제주특별자치도 제주시 애월읍 광령리 1227-3,33.3701721,126.4819697,137,0,0,0,0,274,애월읍,제주시,13178838,173.6,403,쇼핑,5,876,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_200000000014095,제주점토도예연구소,제주특별자치도 제주시 구좌읍 행원리 1260-16,33.5501938,126.8039367,185,0,0,0,0,370,구좌읍,제주시,8197921,87.7,439,쇼핑,5,613,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_200000000012970,어제보다오늘,제주특별자치도 제주시 이호일동 367-1,33.5028469,126.4570603,134,0,0,0,0,268,이호동,제주시,1987390,19,33,음식점,1,1997,44.89,0,1336177.2000000002,1.4873700883385823,0,,,
CNTS_200000000014506,제주오션뷰펜션,제주특별자치도 제주시 구좌읍 행원리 2790,33.5259865,126.7883327,230,0,0,0,1,460,구좌읍,제주시,8197921,87.7,439,숙박,0,409,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_200000000012555,윤옥,제주특별자치도 제주시 이도이동 2003-3,33.4888303,126.5361081,363,0,0,0,0,726,이도2동,제주시,2396297,59.7,92,음식점,1,522,78.99,0,1122941,2.133947375685811,0,,,
CNTS_000000000018905,우도앤살레,제주특별자치도 제주시 우도면 연평리 1290-2,33.513073,126.95785,345,0,1,0,0,690,우도면,제주시,1710982,31.7,134,음식점,1,613,2.26,0,4055278.5,0.421914796,0,,,
CNTS_200000000014112,칠분의오,제주특별자치도 제주시 구좌읍 행원리 574,33.5584038,126.813213,180,0,0,1,0,360,구좌읍,제주시,8197921,87.7,439,음식점,1,876,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_200000000013595,가든이다,제주특별자치도 서귀포시 중문동 1703-1,33.2555778,126.4278239,318,2,0,1,0,642,중문동,서귀포시,4572786,114.5,57,음식점,1,876,11.68,0,234248.6,19.521081449366186,0,,,
CNTS_200000000007227,카페모리,제주특별자치도 제주시 이도2동 1186-21 2층,33.497425,126.5300999,372,0,0,1,0,744,이도2동,제주시,2396297,59.7,92,음식점,1,534,78.99,0,1122941,2.133947375685811,0,,,
CNTS_200000000014098,올티스,제주특별자치도 제주시 조천읍 선흘리 412-3,33.4619618,126.717111,141,0,0,0,0,282,조천읍,제주시,9102603,134.3,300,음식점,1,1461,9.52,0,16587189.8,0.5487730658269793,0,,,
CNTS_200000000013122,크래커스 한경점,제주특별자치도 제주시 한경면 조수리 1363-1,33.3351402,126.2274363,321,0,0,0,0,642,한경면,제주시,3962233,35.7,156,음식점,1,876,12.99,0,4021104.1,0.9853594688085792,0,,,
CNTS_200000000013511,아띠랑스호텔,제주특별자치도 서귀포시 성산읍 시흥리 10,33.477555,126.9093863,258,0,0,0,0,516,성산읍,서귀포시,9044676,123,288,숙박,0,876,5.8,0,23366366.2,0.3870809830926984,0,,,
CNTS_200000000014450, 브랭섬홀아시아 아이스링크,제주특별자치도 서귀포시 대정읍 구억리 1121(3번게이트),33.291267,126.2885061,360,0,0,0,3,720,대정읍,서귀포시,4956729,65.2,171,관광지,2,595,9.65,0,1397166.1,3.547702023402944,0,,,
CNTS_200000000013593,만배성,제주특별자치도 제주시 아라일동 2889-2,33.4740849,126.5325069,386,0,0,0,0,772,아라동,제주시,2434115,25.8,73,음식점,1,876,9.77,0,15144822.2,0.1607225867597178,0,,,
CNTS_200000000014189,파더스가든,제주특별자치도 서귀포시 안덕면 상창리 804,33.2805107,126.3655186,270,0,0,6,0,540,안덕면,서귀포시,11308881,142.5,335,관광지,2,876,6.31,0,13056845.1,0.8661266112439368,0,,,
CNTS_000000000020756,엘리엇스체어,제주특별자치도 제주시 이도2동 1979-22,33.489918,126.54029,392,0,1,0,0,784,이도2동,제주시,2396297,59.7,92,음식점,1,876,78.99,0,1122941,2.133947375685811,0,,,
CNTS_200000000014188,삭제요청 3,제주특별자치도 제주시 애월읍 어음리 49,33.3954527,126.3610827,0,0,0,0,0,0,애월읍,제주시,13178838,173.6,403,관광지,2,2531,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_200000000013566,제주펫,제주특별자치도 서귀포시 남원읍 신흥리 1759-3,33.3204815,126.7454994,466,2,0,2,0,938,남원읍,서귀포시,4769707,45.4,171,관광지,2,311,10.06,0,4403900.6,1.0830641817846662,0,,,
CNTS_200000000014195,도을,제주특별자치도 제주시 조천읍 와흘리 125,33.4735321,126.6571882,93,0,0,0,0,186,조천읍,제주시,9102603,134.3,300,음식점,1,2337,9.52,0,16587189.8,0.5487730658269793,0,,,
CNTS_200000000013597,솔리브레,제주특별자치도 제주시 용담삼동 2293-2,33.5195001,126.4937234,263,1,0,1,0,529,용담2동,제주시,12013080,177.1,77,음식점,1,1732,41.08,0,10212835.2,1.1762727748705866,0,,,
CNTS_200000000014214,요우르,제주특별자치도 제주시 조천읍 신흥리 20-4,33.5493209,126.6541735,83,0,0,0,0,166,조천읍,제주시,9102603,134.3,300,음식점,1,2416,9.52,0,16587189.8,0.5487730658269793,0,,,
CNTS_200000000013113,바램목장&카페,제주특별자치도 서귀포시 안덕면 동광리 259-3,33.3115492,126.3526353,319,0,0,3,0,638,안덕면,서귀포시,11308881,142.5,335,음식점,1,876,6.31,0,13056845.1,0.8661266112439368,0,,,
CNTS_200000000014220,꼬라지오,제주특별자치도 서귀포시 서홍동 1153-6,33.2525749,126.5508127,62,0,0,0,0,124,서흥동,서귀포시,460614,19,50,음식점,1,3355,23.58,0,1601680.9,0.2875816275264318,0,,,
CNTS_200000000014231,평대리멍석,제주특별자치도 제주시 구좌읍 평대리 4-14,33.5306561,126.8501014,92,0,0,0,0,184,구좌읍,제주시,8197921,87.7,439,음식점,1,2203,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_200000000012541,삼일해장국,제주특별자치도 제주시 애월읍 하귀1리 137-3,33.483119,126.4148371,310,0,0,0,2,620,애월읍,제주시,13178838,173.6,403,음식점,1,876,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000022212,루피카페,제주특별자치도 제주시 구좌읍 김녕리 3614,33.554432,126.7468,383,0,0,2,0,766,구좌읍,제주시,8197921,87.7,439,음식점,1,496,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_200000000014088,앙데팡당,제주특별자치도 제주시 애월읍 신엄리 2838,33.4736368,126.353732,320,0,0,0,0,640,애월읍,제주시,13178838,173.6,403,관광지,2,876,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_200000000013126,카페더라이트,제주특별자치도 서귀포시 성산읍 성산리 298-22,33.4661446,126.9359092,454,0,0,1,0,908,성산읍,서귀포시,9044676,123,288,음식점,1,394,5.8,0,23366366.2,0.3870809830926984,0,,,
CNTS_200000000007923,치유밥상,제주특별자치도 제주시 구좌읍 김녕리 731-5,33.5398407,126.746583,88,0,0,1,0,176,구좌읍,제주시,8197921,87.7,439,음식점,1,2395,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_000000000022656,날것,제주특별자치도 제주시 일도1동 1276-18,33.5153315,126.526115,573,0,1,3,0,1151,일도1동,제주시,907667,48.7,24,음식점,1,381,66.92,0,25857.9,35.10211579439939,0,,,
CNTS_200000000008812,예스준게스트하우스,제주특별자치도 제주시 도두일동 1727-5 ,33.508552,126.4708035,493,0,0,0,0,986,도두동,제주시,2250484,44.6,46,숙박,0,876,20.85,0,4430048.8,0.5080043362050549,0,,,
CNTS_200000000013596,듀포레,제주특별자치도 제주시 용담삼동 1092,33.5184457,126.5000695,459,0,0,1,0,918,용담2동,제주시,12013080,177.1,77,음식점,1,876,41.08,0,10212835.2,1.1762727748705866,0,,,
CNTS_200000000014099,우연못,제주특별자치도 제주시 노형동 139,33.4666722,126.4874383,108,0,0,0,0,216,노형동,제주시,7543251,657.8,135,음식점,1,2426,16.24,0,8329103.7,0.905649788,0,,,
CNTS_000000000022111,우진샘펜션,제주특별자치도 제주시 조천읍 선흘리 1960-23,33.4623635,126.7013957,240,0,0,0,0,480,조천읍,제주시,9102603,134.3,300,숙박,0,1868,9.52,0,16587189.8,0.5487730658269793,0,,,
CNTS_200000000013594,우뭇개일번지,제주특별자치도 서귀포시 성산읍 성산리 108-2,33.4631283,126.9352404,339,1,0,2,0,681,성산읍,서귀포시,9044676,123,288,음식점,1,1324,5.8,0,23366366.2,0.3870809830926984,0,,,
CNTS_000000000022424,카페다랑쉬,제주특별자치도 제주시 조천읍 신촌리 2454-7,33.534763,126.618454,235,0,0,2,0,470,조천읍,제주시,9102603,134.3,300,음식점,1,1960,9.52,0,16587189.8,0.5487730658269793,0,,,
CNTS_200000000008004,햇살맞이 플리마켓,제주특별자치도 서귀포시 성산읍 시흥리 200 더포그레이스리조트,33.4735544,126.911217,102,0,0,0,0,204,성산읍,서귀포시,9044676,123,288,쇼핑,5,2889,5.8,0,23366366.2,0.3870809830926984,0,,,
CNTS_200000000014087,스타빌,제주특별자치도 서귀포시 안덕면 광평리 산 31-1,33.3390637,126.3953082,408,0,0,2,0,816,안덕면,서귀포시,11308881,142.5,335,관광지,2,838.5,6.31,0,13056845.1,0.8661266112439368,0,,,
CNTS_200000000009084,사계절민박,제주특별자치도 제주시 추자면 신양리 422-4,33.9354341,126.3227638,573,0,0,0,0,1146,추자면,제주시,823407,19,101,숙박,0,516,2.18,0,1097795.8,0.7500547916106073,0,,,
CNTS_200000000012265,허브올레,제주특별자치도 서귀포시 표선면 성읍리 2669,33.4059357,126.7790832,470,0,0,0,0,940,표선면,서귀포시,5707617,99.4,183,음식점,1,876,8,0,30090733.4,0.1896802222839806,0,,,
CNTS_200000000014527,중복중복____________,제주특별자치도 제주시 애월읍 하귀1리 525-1,33.4861167,126.4092178,0,0,0,0,0,0,애월읍,제주시,13178838,173.6,403,숙박,0,3229,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_200000000007112,프레쉬모먼트,제주특별자치도 제주시 아라1동 6119-2,33.4672955,126.5451146,563,0,0,2,0,1126,아라동,제주시,2434115,25.8,73,쇼핑,5,694.2,9.77,0,15144822.2,0.1607225867597178,0,,,
CNTS_000000000019681,제주옹기굴제,제주특별자치도 서귀포시 대정읍 무릉리 887-5,33.2828,126.22336,556,0,0,1,0,1112,대정읍,서귀포시,4956729,65.2,171,관광지,2,470,9.65,0,1397166.1,3.547702023402944,0,,,
CNTS_200000000013515,하늘만큼땅만큼,제주특별자치도 제주시 애월읍 하귀2리 2669,33.4832683,126.3942235,473,0,0,1,0,946,애월읍,제주시,13178838,173.6,403,숙박,0,357,8.59,0,60903578.3,0.2163885664497976,0,,,
CONT_000000000500920,산방산해오름펜션,제주특별자치도 서귀포시 안덕면 사계리 227-1,33.23678,126.30836,432,0,0,1,0,864,안덕면,서귀포시,11308881,142.5,335,숙박,0,876,6.31,0,13056845.1,0.8661266112439368,0,,,
CNTS_200000000009076,카페힐스,제주특별자치도 제주시 추자면 신양리 172-1,33.9354341,126.3227638,464,0,0,1,0,928,추자면,제주시,823407,19,101,음식점,1,1438,2.18,0,1097795.8,0.7500547916106073,0,,,
CNTS_200000000014211,제주댕댕스푼,제주특별자치도 제주시 구좌읍 평대리 648,33.5293175,126.8395992,86,0,0,1,0,172,구좌읍,제주시,8197921,87.7,439,음식점,1,2962,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_000000000020823,일 이탈리아노,제주특별자치도 제주시 삼도2동 1261-11,33.517532,126.52287,567,0,0,1,0,1134,삼도2동,제주시,2440882,52.1,63,음식점,1,876,68.06,0,660433.3,3.695879659611349,0,,,
